"seq","type","pay_type","role","date","clinicId","ok","status","jobId","error"
"1","permanent",,"insurance_verification","2026-05-29","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","43ed3273-e812-43b6-9c11-fbf8bfae6bec",
"2","multiday","per_hour","dentist","2026-04-30..2026-05-03","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b32672d2-36f2-4197-b339-859148c9d111",
"3","permanent",,"associate_dentist","2026-05-25","03215fde-7131-413a-bcf6-a562ec642692","True","200","4cc49267-3cdb-4f97-82eb-372cccd26801",
"4","temporary","percentage_of_revenue","treatment_coordinator_front","2026-05-06","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","dd922efb-1ebd-48c8-b41d-6cf48d73ad2a",
"5","temporary","per_transaction","dental_assistant","2026-05-08","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","689da0b3-49c5-48bb-97de-9c815671af65",
"6","permanent",,"treatment_coordinator_front","2026-05-17","03215fde-7131-413a-bcf6-a562ec642692","True","200","d996a7d1-6daa-4d06-8b07-c5a8aeb73574",
"7","multiday","per_transaction","billing_coordinator","2026-05-13..2026-05-17","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","d1dc1640-cf5a-47c8-8b4d-6aa10526f058",
"8","permanent",,"dental_hygienist","2026-05-19","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","4c25971d-929b-4321-8ce8-c4bd930abdd2",
"9","temporary","per_hour","associate_dentist","2026-05-22","03215fde-7131-413a-bcf6-a562ec642692","True","200","20dfb02a-affe-4afc-a040-f4091a04b181",
"10","permanent",,"associate_dentist","2026-05-23","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","f6ec7cfc-309e-45e0-b23d-7e00fa3c237c",
"11","multiday","percentage_of_revenue","dental_hygienist","2026-05-07..2026-05-09","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e0ca276c-86ae-4dbc-ac9a-fda6839b8411",
"12","multiday","per_hour","insurance_verification","2026-05-05..2026-05-08","03215fde-7131-413a-bcf6-a562ec642692","True","200","24f00a81-b490-40f7-b944-6e5dc3a461cd",
"13","permanent",,"billing_coordinator","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","1f6b69e0-37fb-44d3-b7ec-476caa559e58",
"14","permanent",,"patient_coordinator_front","2026-05-26","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","740b1685-99e9-4188-8e3b-dac28066fd0f",
